Timeslot,NoBrokers,NoCustomers,Consumption,Production,Consumption24hAgo,Production24Ago,TempForecast,WindSpeedForecast,WindDirectionForecast,CloudsForecast,ClearedQuantity,ClearedQuantity24h,Bids,Asks,Imbalance,Imbalance1h,Imbalance24h,Imbalance1hSign,Imbalance24hSign
950,2,187,54939.845376073215,14168.931999999999,64651.738766230934,15912.616422253586,13.6,9.99,213.0,0.665,732.2471960320064,1008.6077624394406,4145.725166575415,-17727.80446339966,-3508.545245407803,129.02801600028397,17977.151407891295,1,1
951,2,187,55494.23900653235,13327.758600000003,68927.33410985487,25442.6,12.9,8.99,213.0,0.165,912.0874727538903,1110.2790322962103,3156.3005243217267,-17727.499692397596,129.02801600028397,5673.434919118046,27938.38372812156,1,1
952,2,187,57610.783884533266,12778.780000000004,64366.288425949104,15935.99,13.3,8.99,213.0,0.165,710.7959404986808,1029.1483821175746,9235.5111439291,-17820.291408319936,5673.434919118046,23606.8160692101,18068.12907313699,1,1
953,2,187,63058.78897603259,11951.690000000004,69238.81918853175,12914.850000000004,13.0,7.99,213.0,0.165,915.5886606095376,1304.065880089348,208109.5137504604,-17828.351508908567,23606.8160692101,13881.607861904653,10905.663619016794,1,1
954,2,187,60597.788166824874,11597.93,64732.87659267621,11434.21,13.5,9.99,213.0,0.165,816.8169112349894,1089.5368797264648,8309.869829256766,-17822.4117247529,13881.607861904653,13718.4337974452,12960.558885320941,1,1
955,2,187,55327.841992351336,11492.78,56648.81391352298,11371.61,13.3,8.99,213.0,0.165,837.8484255588281,1005.1417795535856,18135.339822469872,-17854.89166641672,13718.4337974452,10969.839357984107,13982.058420051377,1,1
956,2,187,52376.86288317844,11555.59,52835.41738635114,11321.41,13.1,8.99,213.0,0.665,686.1177096148064,851.8718104221947,5442.613806060694,-17832.36087486789,10969.839357984107,21329.20945496835,11451.9648782871,1,1
957,2,187,46085.42426157803,11707.2,47489.22631616141,11416.82,13.2,8.99,213.0,0.165,769.8273092239771,896.4653132319163,6389.2670519541425,-17777.34112735674,21329.20945496835,11805.514576453363,14154.654478539192,1,1
958,2,187,43084.374294189714,11574.580000000002,43301.0328997701,11492.520000000004,12.3,7.99,203.0,0.165,752.872181380399,796.7780885513532,5390.698590618798,-17702.203938445575,11805.514576453363,10940.914440375389,6375.080277151061,1,1
959,2,187,42926.54903164773,11561.150000000001,41193.449015982485,11480.89,13.7,8.99,213.0,0.165,789.6003511927473,721.5230308509397,4010.4207992133315,-17636.441786521606,10940.914440375389,13066.726207429041,10714.994152644522,1,1
960,2,187,41324.14823142404,11452.71,39880.62585708154,11463.969999999998,12.6,6.45,187.0,0.0,826.0030240394151,715.8844689251307,43954.05257962598,-17635.836035443564,13066.726207429041,14018.414376539586,11563.555148679738,1,1
961,2,187,38816.74676696968,11769.990000000005,34698.63599746654,11782.1,13.0,6.45,187.0,0.0,708.6180242371033,742.5926998781551,16735.708319771235,-17631.676370524565,14018.414376539586,13216.272038150473,9039.458066161373,1,1
