Timeslot,NoBrokers,NoCustomers,Consumption,Production,Consumption24hAgo,Production24Ago,TempForecast,WindSpeedForecast,WindDirectionForecast,CloudsForecast, ClearedQuantity, ClearedQuantity24h,Imbalance,Imbalance24h
401,2,187,63976.95785986214,3877.718198757764,53476.50298377881,12686.910000000005,12.7,5.43,153.0,0.924,614.5829138712512,1180.1519446049647,6382.484498198148,-3924.1085136015267
402,2,187,63653.48790845354,3659.42,55234.74905717406,11219.800000000003,12.3,4.43,133.0,0.924,720.1620195399141,1019.3791586048451,4990.346789496703,-10825.11712803632
403,2,187,55229.539019183234,5591.982712100708,55252.09813913218,11352.18,10.7,6.43,133.0,0.174,1103.3591253244824,1017.9897950788602,-824.0927121006753,965.0429845686886
404,2,187,56146.14138745497,7035.350000000001,52485.82324309889,11312.3,11.0,6.43,133.0,0.674,733.0177276283465,1055.6195927004865,2783.2233580972243,-463.2356785355587
405,2,187,47163.22735079112,5329.197029702972,48677.297580979946,11574.090000000004,11.6,6.43,133.0,0.924,658.9855715781949,1009.1041284205359,703.3074361808758,2189.1442676315855
406,2,187,43195.42245006499,102.34601617069453,44442.43708004287,11388.315799999997,11.2,6.43,153.0,0.799,657.9505496477532,758.604769071925,-5130.8870752867515,-1994.169446102209
407,2,187,38596.20590787104,67.68891008636103,36344.75634207701,11486.36,11.3,7.43,143.0,0.924,606.4452476322504,869.2909355949547,-4146.098263200227,626.2129800608272
408,2,187,40053.78530275694,75.33922852514705,44166.26840062304,11369.099999999999,14.3,4.13,157.0,0.911,497.6937816604286,840.6723703044818,-6059.890723771292,-418.70811236761074
409,2,187,36106.412076485896,328.45708049006595,40979.74425616306,11724.730000000003,13.9,3.13,157.0,0.911,565.8237760414556,825.9950178270477,-4558.782888176025,-5465.415078458354
410,2,187,38916.01845903676,6.097199999999999,42125.296814441914,11538.450000000004,13.4,4.13,147.0,0.911,606.4226986893079,828.982222653978,-8431.87655708602,-359.8002922109845
411,2,187,49562.10367790228,4.6488000000000005,50821.57835156718,11333.210000000006,13.6,4.13,157.0,0.911,558.4563046177956,773.081962275521,-12093.707601248621,763.1037839716591
412,2,187,52700.56295252882,0.8244,53731.73706375986,7053.049999999999,12.7,4.13,167.0,0.411,579.0289467091685,868.0935293179676,-5032.633456971882,7464.917845487056
413,2,187,58500.58513792296,295.88000000000216,59711.89387946878,7390.520000000004,12.6,5.13,157.0,0.911,554.0264805491834,896.4300186901002,1940.178410934146,13083.967395628977
414,2,187,49283.74481134508,134.0952,50087.175165226814,7266.950000000001,12.4,5.13,167.0,0.036,746.2509163512211,958.7428808124918,-8455.12083479631,3196.5975708589544
415,2,187,75975.38158778717,5986.516640000001,64360.145842255515,12665.079200000002,13.2,5.13,167.0,0.536,658.4742277501225,964.3634642975301,-30702.967258155753,-31.75375125497027
416,2,187,73143.03732160942,11558.581330333294,66840.37352499586,12599.259999999998,14.0,4.13,177.0,0.786,1192.6359023355888,1115.6115919453928,-30271.357704159265,-11779.717051472318
417,2,187,65594.14553038389,29180.974624867504,58740.50665014115,13637.34731111111,15.4,4.13,187.0,0.0,894.3060402129645,1015.254412988961,-6540.580794406436,16462.004894628164
418,2,187,61137.2860877054,17080.868840444353,58944.14837461065,17286.51799444342,16.1,4.13,187.0,0.661,1178.1450797420557,1115.8052557661476,-13467.09664381345,-24123.3135081453
419,2,187,58097.7409165765,14207.188880533226,56268.19522056058,12053.093497387355,17.7,3.13,187.0,0.661,959.6194451149156,1212.830699969812,-23593.11123577665,-6323.50744446338
420,2,187,59334.95830305575,14563.519380666536,56700.63407388395,9385.572,18.3,4.13,247.0,0.036,1223.3339273443223,1091.6722589182245,-39532.67368022614,9550.466754446263
421,2,187,62116.560359116374,11916.763781508233,58963.56254783283,14473.294488314448,18.2,4.13,267.0,0.286,859.5034889026052,1305.28698312416,-13647.507688389516,19469.61111165998
422,2,187,62289.12590783094,14555.412281333105,65876.50793838088,14920.699235877455,17.9,3.13,247.0,0.286,940.775159095724,1282.1252993463204,-23369.65228968506,-661.9863722386576
