Timeslot,NoBrokers,NoCustomers,Consumption,Production,Consumption24hAgo,Production24Ago,TempForecast,WindSpeedForecast,WindDirectionForecast,CloudsForecast,ClearedQuantity,ClearedQuantity24h,Imbalance,Imbalance24h,Imbalance24hSign
447,2,187,56238.04402,9645.151344,67293.99225,16235.2332,20.2,0.88,46,0.815,1053.124114,877.2319738,-13327.52106,-11733.91055,-1
448,2,187,53679.81496,8758.709383,62483.90893,9730.092898,19.9,0.88,56,0.815,945.5312398,888.6303487,-3158.776599,1203.034844,1
449,2,187,61181.74395,415.29,64876.26731,3986.688514,19.7,1.88,46,0.815,984.0205684,820.0747575,8654.291248,15383.87249,1
450,2,187,60928.3242,2739.091613,64549.37799,5203.846161,19.6,0.88,56,0.815,1048.831765,941.3715666,-9323.388082,7494.610844,1
451,2,187,57744.18146,22.34182114,60720.94189,5155.83,19.1,0.88,56,0.815,1045.693421,793.138948,-6830.640873,6035.787539,1
452,2,187,52669.28553,1895.219979,52291.85042,5221.2676,19.2,2.88,86,0.815,1010.022978,775.712456,-5907.820002,6460.581308,1
453,2,187,46400.48734,13.32,44364.30251,5468.530659,17.6,1.88,16,0.69,945.7949161,595.4638935,3134.064407,4159.567704,1
454,2,187,46233.24288,0,39553.6964,5231.5052,17.9,0.88,46,0.815,959.7614942,697.8921908,3314.979144,-762.7202402,-1
455,2,187,41106.53344,0,35564.13661,5164.4912,16.7,1.88,56,0.69,811.285106,646.685608,4669.284028,278.0560686,1
456,2,187,37401.33028,23.58933333,35758.56882,5126.752,12.2,2.24,103,1,772.9879671,649.1912781,-494.4288454,-2451.266797,-1
457,2,187,33395.69701,295.88,32632.20384,293.8567814,11.4,4.24,113,0.202,934.5438549,654.0993968,4761.242276,8135.430387,1
458,2,187,32144.50794,44.96028995,35039.30798,5140.7516,12.5,3.24,133,1,777.2838125,640.8172278,-970.2542905,-4410.116773,-1
459,2,187,38430.73337,0,40320.20359,5124.58,12.1,4.24,123,1,749.8640589,602.8191259,2834.554182,4856.061576,1
460,2,187,49660.13627,0,52176.78375,5078.62,11.5,3.24,113,1,780.1327886,452.4452225,7227.318557,-8657.514041,-1
461,2,187,55345.59088,295.88,57471.56322,5437.43,11,5.24,133,1,910.2697971,577.9065288,15912.01838,-3153.219156,-1
462,2,187,53378.91649,171.05,48681.89214,6494.5,10.9,4.24,133,1,1225.495552,605.2458802,8436.961387,-7988.276396,-1
463,2,187,62502.96569,932.2421749,63907.42398,10493.71235,10.8,5.24,133,1,1063.76698,505.2050501,5103.984562,-13479.59402,-1
464,2,187,56125.15252,3323.818692,64024.06626,14376.95082,11,4.24,133,1,1203.051691,682.5157822,-6838.796476,-18305.91272,-1
465,2,187,51887.78375,7456.543172,63928.22151,35755.96,11.5,6.24,123,1,1043.793366,602.3554817,-18166.04705,-11280.42118,-1
466,2,187,57988.85367,8628.248658,55233.95139,23741.65176,12.3,6.24,133,1,1216.936758,561.760008,-21899.16975,-8577.220705,-1
467,2,187,62216.83164,8486.194589,55649.91132,19154.01744,12.8,6.24,133,1,930.4370397,1098.350227,-37788.44596,-14907.07507,-1
468,2,187,60586.99372,2680.287421,61921.99535,49984.92,13.3,4.24,133,0.702,938.4310799,461.9672997,-13366.11399,-12397.79986,-1
469,2,187,56395.43758,11231.00374,56685.36203,33433.19,14.1,4.24,113,0.327,996.7358136,1158.625154,-16468.42153,17581.00593,1
470,2,187,59770.55908,9638.412383,52565.40585,23315.67637,14,4.24,123,0.202,1039.404502,519.2051814,-13998.17875,12850.46241,1
471,2,187,63620.26568,2156.636207,56238.04402,9645.151344,13.4,5.24,123,0.202,877.2319738,517.5017442,-11733.91055,4967.126921,1
472,2,187,57750.75007,1131.43,53679.81496,8758.709383,12.4,4.24,113,0.202,888.6303487,496.3590555,1203.034844,7629.964587,1
473,2,187,57904.151,334.3552856,61181.74395,415.29,12.1,4.24,123,0.202,820.0747575,674.7042035,15383.87249,9530.700698,1
474,2,187,58727.70075,0,60928.3242,2739.091613,12.2,5.24,133,0.202,941.3715666,533.0742713,7494.610844,-4753.686238,-1
475,2,187,55830.94897,0,57744.18146,22.34182114,11.9,5.24,133,0.827,793.138948,534.5320844,6035.787539,-4620.819674,-1
476,2,187,54585.22582,5197.55,52669.28553,1895.219979,11.8,4.24,133,1,775.712456,578.1115288,6460.581308,-8114.522097,-1
477,2,187,46641.466,290.38,46400.48734,13.32,11.7,5.24,143,1,595.4638935,467.9555017,4159.567704,-4495.220351,-1
478,2,187,42355.14699,23.0066199,46233.24288,0,11.8,5.24,143,1,697.8921908,407.2671379,-762.7202402,-6585.358664,-1
479,2,187,38649.10321,0,41106.53344,0,11.7,4.24,173,1,646.685608,378.735278,278.0560686,-2860.902094,-1
480,2,187,37288.73502,45.42722059,37401.33028,23.58933333,7.3,4.52,152,0.84,649.1912781,297.8706635,-2451.266797,-6761.916297,-1
481,2,187,39983.75644,5053.08,33395.69701,295.88,7,3.52,142,0.84,654.0993968,248.4255141,8135.430387,8733.976715,1
482,2,187,32791.34783,56.94729013,32144.50794,44.96028995,6.7,3.52,152,0.715,640.8172278,340.8775561,-4410.116773,9279.891135,1
483,2,187,40649.13791,5060.44,38430.73337,0,6.7,2.52,122,0.84,602.8191259,392.2989879,4856.061576,5206.945026,1
484,2,187,50342.06997,48.71566081,49660.13627,0,6,2.52,122,0.84,452.4452225,330.5005283,-8657.514041,-9840.310097,-1
485,2,187,55530.32797,5385.418614,55345.59088,295.88,5.3,2.52,122,0.84,577.9065288,351.5866548,-3153.219156,-9650.247217,-1
486,2,187,50691.15274,5327.198873,53378.91649,171.05,5.2,3.52,112,0,605.2458802,310.5263164,-7988.276396,-6955.518097,-1
487,2,187,68782.76821,6525.941554,62502.96569,932.2421749,6.1,5.52,142,0.715,505.2050501,408.6859155,-13479.59402,-16694.5715,-1
488,2,187,68379.2764,13956.90744,56125.15252,3323.818692,7.3,5.52,162,0.84,682.5157822,378.5027386,-18305.91272,-9047.535777,-1
489,2,187,66104.63402,10905.70884,51887.78375,7456.543172,7.4,5.52,142,0.84,602.3554817,333.8077352,-11280.42118,-9833.467058,-1
490,2,187,59690.97767,11370.94457,57988.85367,8628.248658,8.8,5.52,142,0,561.760008,387.7241534,-8577.220705,9421.186564,1
491,2,187,56836.2055,17554.03621,62216.83164,8486.194589,9.8,5.52,152,0,1098.350227,364.7875525,-14907.07507,18693.24319,1
